,mass,radius,edible
0,66.10218856803446,30.696286905196466,1
1,54.969825727357374,66.52115452371227,1
2,72.28448410673693,77.13829622511345,1
3,57.71494616714233,54.76775103323386,1
4,56.42073015962074,58.72564536957593,1
5,56.93577944634013,50.55698301411855,1
6,73.94419644769877,47.48421575819087,1
7,58.46343657005943,64.84566190598895,1
8,66.80883540550784,61.4042439069235,1
9,66.89545924055773,63.74832433766612,1
10,61.405298328741175,51.2807050371216,1
11,72.0620624743355,55.202687904863325,1
12,55.733925323212695,55.988481480683625,1
13,70.69980400799577,46.38623724440242,1
14,73.01138177414472,65.84478478595406,1
15,73.9135760872757,50.5348428243298,1
16,50.97446516788987,64.22263966110856,1
17,58.22743451127197,37.136785392782826,1
18,39.15974703610377,45.85342018837461,1
19,63.151701042090046,51.83207493829911,1
20,64.51740385672998,61.417630076989866,1
21,66.12252960214994,57.800573468111,1
22,58.35295055598672,55.16047642622786,1
23,55.565323148982046,38.62812188570952,1
24,57.49630694469661,54.3071686429494,1
25,59.21004068758542,69.46350887378664,1
26,50.59936491231881,56.46442461987967,1
27,62.013408422942916,66.4607135670487,1
28,51.82448718278825,63.02302852315043,1
29,42.12218557931635,63.683919206167204,1
30,56.43012444927702,55.73687390251359,1
31,62.30768258883343,57.00860785228218,1
32,82.46962706896649,63.17191210464978,1
33,65.22237765941982,60.601735447435516,1
34,68.33308395340504,46.92321305319261,1
35,48.569189969621846,47.6672423327367,1
36,61.76595329591656,56.30059711931091,1
37,56.53416452845297,57.2443883485894,1
38,66.72625767031417,48.03503452169621,1
39,48.847342061422154,56.28457684927776,1
40,54.207543436713785,62.023356974538345,1
41,68.4226554959464,68.68739337064753,1
42,68.4419730996193,51.80296392899565,1
43,65.97272375059387,58.56418699799834,1
44,58.535088263100185,66.90361029645535,1
45,62.9525255556004,63.79206873123362,1
46,50.724711155035926,59.863945204196405,1
47,58.45244657520599,62.21609936748206,1
48,76.72074834936328,61.990547258233036,1
49,50.8317528333198,43.2609044868147,1
50,48.8377871303298,54.26256892419988,1
51,55.34505181115519,66.69141750539877,1
52,60.16024060472654,45.688832047142895,1
53,58.57648731085676,63.090526597829964,1
54,53.12068649159295,56.60185645519701,1
55,59.15464694893243,40.54020682447252,1
56,54.7145249131501,66.68953727807389,1
57,59.89999496865506,67.43501757563634,1
58,71.268057717304,51.02465956040959,1
59,56.586899404226706,57.0942041132122,1
60,53.8411882800744,72.36211373137866,1
61,50.83745793720655,47.61718087169384,1
62,59.89329413115799,66.25529482432181,1
63,48.3241363865302,35.58743315557493,1
64,76.30940704602232,42.951781124810225,1
65,47.93613940805629,34.66789688815089,1
66,49.36136540575924,34.80645818068881,1
67,77.21449973242696,63.16762496481036,1
68,67.68007696380508,36.01307109309478,1
69,64.04305888201509,51.14531737115244,1
70,72.21209053403807,71.12703786402497,1
71,55.878214314684634,67.00969956679316,1
72,75.15256507833163,53.4388531664294,1
73,55.68957078912947,49.44822523668741,1
74,58.582701106237764,55.72133996962059,1
75,57.64040393551116,55.683408153685654,1
76,59.15282336245008,47.473981641026086,1
77,58.607610969699444,53.54432435508576,1
78,53.744576563054395,33.89055502038312,1
79,56.50107999573725,54.7607419489113,1
80,50.22183804550933,54.6406806799926,1
81,50.66933403849587,73.60845206977925,1
82,46.45800032207868,43.41692365463217,1
83,49.098853766787215,45.72944763983791,1
84,63.65601166608777,71.87452790864442,1
85,62.19023790894486,61.86684100645001,1
86,78.06564675579013,54.36105875310648,1
87,64.68822105901575,42.20902979493126,1
88,49.27621021910434,43.734411619867394,1
89,52.105767099666224,56.798528445093936,1
90,58.91484605028444,55.43394892648914,1
91,49.159440414365186,48.81264590426109,1
92,55.174180485420564,54.89905711892751,1
